county,year,median_price,mean_price,n_sales
Carlow,2010,157709.0,174220.63186147186,231
Carlow,2011,127000.0,138394.0857923497,183
Carlow,2012,100000.0,108485.9577443609,266
Carlow,2013,90000.0,112456.49234666668,375
Carlow,2014,110000.0,114101.07730593607,438
Carlow,2015,118000.0,126740.7390926276,529
Carlow,2016,135000.0,137853.813364486,535
Carlow,2017,137000.0,148150.6989925373,536
Carlow,2018,165000.0,170715.5546569343,685
Carlow,2019,168067.79,174866.72225997047,677
Carlow,2020,173500.0,208628.9662022901,524
Carlow,2021,190000.0,216356.4055820477,713
Carlow,2022,209000.0,235214.91644536654,723
Carlow,2023,229294.27,244295.14439775908,714
Carlow,2024,247250.0,258114.3553153153,666
Carlow,2025,265000.0,306912.65523076925,650
Carlow,2026,281000.0,312346.4323481782,247
Cavan,2010,130000.0,142040.34561056105,303
Cavan,2011,112387.5,132019.26032608695,276
Cavan,2012,85000.0,104653.21365558912,331
Cavan,2013,64000.0,81840.96240704501,511
Cavan,2014,60000.0,76504.68084928229,836
Cavan,2015,76932.0,94981.9259432799,811
Cavan,2016,85000.0,106775.4230848329,778
Cavan,2017,100000.0,121757.35059241707,844
Cavan,2018,120395.0,132536.7272450176,853
Cavan,2019,135000.0,145007.93252403845,832
Cavan,2020,140000.0,161779.74955617197,721
Cavan,2021,155000.0,179971.9856243094,905
Cavan,2022,175000.0,202533.20104166667,912
Cavan,2023,190000.0,210400.55300349244,859
Cavan,2024,200000.0,224519.67203614456,830
Cavan,2025,236000.0,261285.92072590737,799
Cavan,2026,245000.0,263629.9513207547,371
Clare,2010,160000.0,175869.0159960552,507
Clare,2011,139350.0,158343.7315704388,433
Clare,2012,115000.0,131900.07385813148,578
Clare,2013,94000.0,118195.02970358815,641
Clare,2014,95000.0,118578.14659025788,1047
Clare,2015,100563.16,124080.88652719666,1195
Clare,2016,121000.0,167161.12663851352,1184
Clare,2017,139250.0,168293.34850998464,1302
Clare,2018,160000.0,171305.70415532426,1249
Clare,2019,169750.0,187084.76323671496,1242
Clare,2020,177000.0,188525.69829555758,1103
Clare,2021,190000.0,212124.192467903,1402
Clare,2022,220000.0,253036.8205003574,1399
Clare,2023,229037.44,253166.45619581465,1338
Clare,2024,265000.0,300914.6849605678,1268
Clare,2025,290000.0,322700.49079425115,1322
Clare,2026,300000.0,326353.7587107438,605
Cork,2010,210000.0,229962.5579181338,2272
Cork,2011,180000.0,198666.08568785578,2108
Cork,2012,152500.0,174150.46954775686,2764
Cork,2013,137500.0,174367.77467588327,3255
Cork,2014,145000.0,177917.5103676785,4678
Cork,2015,160000.0,206263.85581814838,5433
Cork,2016,180000.0,205635.41473804906,5669
Cork,2017,200000.0,230738.6802628455,5897
Cork,2018,220000.0,280175.98767605633,6106
Cork,2019,230000.0,262474.075753383,6577
Cork,2020,243000.0,269031.319613079,5505
