date_of_sale,address,county,eircode,price,not_full_market_price,vat_exclusive,description,property_size_description,year,quarter,eircode_routing_key,log_price,price_outlier
2019-04-18,"102 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",Dublin,,386000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q2,,12.863595239117187,False
2023-10-25,"52 Vartry Close, Tinakelly Park, Rathnew",Wicklow,,440528.63,False,True,New Dwelling house /Apartment,,2023,2023Q4,,12.99573298656841,False
2014-09-02,"MITCHELSTOWN, ATHBOY, MEATH",Meath,,255000.0,False,False,Second-Hand Dwelling house /Apartment,,2014,2014Q3,,12.449022745701502,False
2022-01-31,"138 CRANN NUA, EDENDERRY RD, PORTARLINGTON",Laois,R32KD57,122500.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q1,R32,11.715874472198905,False
2012-12-14,"271 Cedarwood Park, Dundalk",Louth,,47000.0,False,False,Second-Hand Dwelling house /Apartment,,2012,2012Q4,,10.757924157061597,False
2016-09-14,"APT.2, FURZE HALL, MADDENSTOWN",Kildare,,100000.0,False,False,Second-Hand Dwelling house /Apartment,,2016,2016Q3,,11.51293546492023,False
2010-08-30,"51 Hazelwood, Bray, County Wicklow",Wicklow,,180000.0,False,False,Second-Hand Dwelling house /Apartment,,2010,2010Q3,,12.100717685412471,False
2019-12-19,"69 CONVENT HILL AVE, BALLINA, CO MAYO",Mayo,,110000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q4,,11.608244735642321,False
2022-12-02,"12 Strettel Avenue, Ballitore",Kildare,,262114.0,False,True,New Dwelling house /Apartment,,2022,2022Q4,,12.47653861773878,False
2017-07-18,"GUBADORISH, DRUMLISH, COUNTY LEITRIM",Leitrim,,90000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q3,,11.407576060361786,False
2025-11-24,"16 EATON WAY, RATHCOOLE, DUBLIN",Dublin,D24W297,300000.0,False,False,Second-Hand Dwelling house /Apartment,,2025,2025Q4,D24,12.611541086966115,False
2011-11-03,"6  Larch Grove, Ranelagh, Dublin 6",Dublin,,330000.0,False,False,Second-Hand Dwelling house /Apartment,,2011,2011Q4,,12.706850963741102,False
2025-12-22,"No. 10a Lake Crescent, Kilminchy, Portlaoise",Laois,,233479.0,False,True,New Dwelling house /Apartment,,2025,2025Q4,,12.360851699317728,False
2022-02-09,"CALLOUGHS, CARRIGALLEN, LEITRIM",Leitrim,,155000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q1,,11.951186847493476,False
